Date,UK,Germany,France,Canada,Japan,US
1-Aug-79,0.444306216,1.827799999,4.261999999,1.166199999,220,1
1-Sep-79,0.455041864,1.742499999,4.100499999,1.160599999,223.3,1
1-Oct-79,0.481672367,1.806599999,4.235999999,1.184599999,237.7,1
1-Nov-79,0.455477112,1.729999999,4.069999999,1.170399999,248.8,1
1-Dec-79,0.449640288,1.731499999,4.019999999,1.168099999,239.7,1
1-Jan-80,0.440858793,1.739399999,4.070999999,1.158299999,238.8,1
1-Feb-80,0.438846711,1.772299999,4.153249999,1.144799999,249.8,1
1-Mar-80,0.461510061,1.941899999,4.478499999,1.191399999,249.7,1
1-Apr-80,0.441306267,1.8015,4.203499999,1.187799999,239,1
1-May-80,0.42918455,1.785999999,4.159999999,1.158899999,224.3,1
1-Jun-80,0.423370026,1.758199999,4.086999999,1.150999999,217.6,1
1-Jul-80,0.427715997,1.785099999,4.137999999,1.161599999,227,1
1-Aug-80,0.417955363,1.7923,4.164999999,1.157299999,219,1
1-Sep-80,0.418707868,1.8113,4.199499999,1.170499999,212.2,1
1-Oct-80,0.410121806,1.909199999,4.350999999,1.175599999,211.5,1
1-Nov-80,0.423818606,1.925699999,4.470999999,1.189499999,216.7,1
1-Dec-80,0.419287212,1.959,4.515999999,1.194699999,203,1
1-Jan-81,0.419111484,2.116699999,4.878499999,1.193999999,204.7,1
1-Feb-81,0.453617601,2.129499999,5.005999999,1.2013,208.8,1
1-Mar-81,0.445593085,2.101799999,4.957999999,1.186799999,211,1
1-Apr-81,0.467202392,2.2145,5.253999999,1.195999999,215,1
1-May-81,0.483208505,2.327399999,5.542999999,1.203599999,224.1,1
1-Jun-81,0.514721021,2.390899999,5.717499999,1.200499999,225.8,1
1-Jul-81,0.538793104,2.464499999,5.851999999,1.234899999,239.45,1
1-Aug-81,0.544365814,2.428999999,5.824999999,1.202199999,228,1
1-Sep-81,0.555401278,2.322499999,5.566999999,1.206799999,232.7,1
1-Oct-81,0.54200542,2.254199999,5.668499999,1.203099999,233.8,1
1-Nov-81,0.507614213,2.203499999,5.554499999,1.176699999,214.3,1
1-Dec-81,0.524109015,2.254799999,5.747999999,1.185899999,219.9,1
1-Jan-82,0.530926467,2.308499999,5.874999999,1.1967,230.5,1
1-Feb-82,0.550751776,2.385999999,6.079499999,1.229599999,237,1
1-Mar-82,0.561261717,2.414199999,6.241999999,1.230299999,246.5,1
1-Apr-82,0.559127761,2.332699999,6.089499999,1.219199999,235.1,1
1-May-82,0.558347292,2.345199999,6.110499999,1.2442,243.5,1
1-Jun-82,0.575274694,2.459799999,6.828999999,1.292999999,254,1
1-Jul-82,0.574712644,2.454499999,6.831999999,1.255499999,257.5,1
1-Aug-82,0.581226388,2.497199999,7.018499999,1.239399999,261.7,1
1-Sep-82,0.59077214,2.5276,7.137999999,1.236299999,269.5,1
1-Oct-82,0.597585754,2.5668,7.250999999,1.225899999,277.3,1
1-Nov-82,0.620347395,2.487199999,7.020499999,1.237199999,253.1,1
1-Dec-82,0.619386807,2.376499999,6.724999999,1.229399999,235,1
1-Jan-83,0.653167865,2.447499999,6.936499999,1.236899999,237.9,1
1-Feb-83,0.657418974,2.421199999,6.862999999,1.228899999,235.45,1
1-Mar-83,0.676132522,2.4265,7.269499999,1.233899999,239.4,1
1-Apr-83,0.640409863,2.458099999,7.376999999,1.225999999,237,1
1-May-83,0.621658585,2.519,7.560499999,1.229999999,238.3,1
1-Jun-83,0.653423942,2.541899999,7.637499999,1.227299999,239.7,1
1-Jul-83,0.657505425,2.643499999,7.957999999,1.2341,241.7,1
